county,fips,date,type,pct_diff
Alameda County,06001,2020-07-02,workplaces,-55
Alameda County,06001,2020-07-02,residential,19
Alameda County,06001,2020-07-03,retail,-37
Alameda County,06001,2020-07-03,grocery,0
Alameda County,06001,2020-07-03,parks,47
Alameda County,06001,2020-07-03,transit,-60
Alameda County,06001,2020-07-03,workplaces,-67
Alameda County,06001,2020-07-03,residential,22
Alameda County,06001,2020-07-04,retail,-59
Alameda County,06001,2020-07-04,grocery,-19
Alameda County,06001,2020-07-04,parks,20
Alameda County,06001,2020-07-04,transit,-54
Alameda County,06001,2020-07-04,workplaces,-32
Alameda County,06001,2020-07-04,residential,11
Alameda County,06001,2020-07-05,retail,-47
Alameda County,06001,2020-07-05,grocery,-23
Alameda County,06001,2020-07-05,parks,23
Alameda County,06001,2020-07-05,transit,-48
Alameda County,06001,2020-07-05,workplaces,-21
Alameda County,06001,2020-07-05,residential,7
Alameda County,06001,2020-07-06,retail,-37
Alameda County,06001,2020-07-06,grocery,-14
Alameda County,06001,2020-07-06,parks,23
Alameda County,06001,2020-07-06,transit,-59
Alameda County,06001,2020-07-06,workplaces,-55
Alameda County,06001,2020-07-06,residential,20
Alameda County,06001,2020-07-07,retail,-38
Alameda County,06001,2020-07-07,grocery,-9
Alameda County,06001,2020-07-07,parks,39
Alameda County,06001,2020-07-07,transit,-58
Alameda County,06001,2020-07-07,workplaces,-55
Alameda County,06001,2020-07-07,residential,21
Alameda County,06001,2020-07-08,retail,-39
Alameda County,06001,2020-07-08,grocery,-12
Alameda County,06001,2020-07-08,parks,33
Alameda County,06001,2020-07-08,transit,-58
Alameda County,06001,2020-07-08,workplaces,-53
Alameda County,06001,2020-07-08,residential,21
Alameda County,06001,2020-07-09,retail,-38
Alameda County,06001,2020-07-09,grocery,-10
Alameda County,06001,2020-07-09,parks,38
Alameda County,06001,2020-07-09,transit,-60
Alameda County,06001,2020-07-09,workplaces,-54
Alameda County,06001,2020-07-09,residential,21
Alameda County,06001,2020-07-10,retail,-41
Alameda County,06001,2020-07-10,grocery,-11
Alameda County,06001,2020-07-10,parks,26
Alameda County,06001,2020-07-10,transit,-59
Alameda County,06001,2020-07-10,workplaces,-50
Alameda County,06001,2020-07-10,residential,20
Alameda County,06001,2020-07-11,retail,-45
Alameda County,06001,2020-07-11,grocery,-12
Alameda County,06001,2020-07-11,parks,28
Alameda County,06001,2020-07-11,transit,-49
Alameda County,06001,2020-07-11,workplaces,-17
Alameda County,06001,2020-07-11,residential,10
Alameda County,06001,2020-07-12,retail,-43
Alameda County,06001,2020-07-12,grocery,-15
Alameda County,06001,2020-07-12,parks,35
Alameda County,06001,2020-07-12,transit,-47
Alameda County,06001,2020-07-12,workplaces,-19
Alameda County,06001,2020-07-12,residential,8
Alameda County,06001,2020-07-13,retail,-38
Alameda County,06001,2020-07-13,grocery,-15
Alameda County,06001,2020-07-13,parks,22
Alameda County,06001,2020-07-13,transit,-60
Alameda County,06001,2020-07-13,workplaces,-54
Alameda County,06001,2020-07-13,residential,20
Alameda County,06001,2020-07-14,retail,-39
Alameda County,06001,2020-07-14,grocery,-11
Alameda County,06001,2020-07-14,parks,34
